S.No,Model,Category Code,Category,Estimated Energy (kWh),Avg CO2 Emission (g),Tokens Used,Grid Intensity (gCO2/kWh),Measurement Method,Source Reference,Experiment Batch ID
176,GPT-4,R2,Reasoning Logical,0.000965,0.33,976,20,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
177,GPT-4,G3,General Long,0.00087,0.41585,1285,623,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-6
178,Claude 3,C4,Code LeetCode Easy,0.00089,,373,20,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-9
179,GPT-4,G3,General Long,0.0009,0.348,359,623,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-13
180,Claude 3,C5,Code LeetCode Hard,0.002752,0.873,781,419,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-1
181,Claude 3,R2,Reasoning Logical,0.001223,0.5523,1603,419,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
182,GPT-4,M1,Math Basic,0.0010349,0.37187,1087,240,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-6
183,Grok-1.5,C1,Code Basic,0.001245,0.501,1068,419,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-3
184,GPT-4,R2,Reasoning Logical,0.001015,0.48,785,625,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-2
185,Claude 3,C3,Code DS/Algo,0.0010097,0.62,879,625,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
186,Grok-1.5,R1,Reasoning Basic,0.0014475,0.48,876,625,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-12
187,Llama-3 70B,M4,Math Advanced,0.0006,0.3,1204,419,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
188,GPT-4,R1,Reasoning Basic,0.0009,0.28325,1530,419,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-11
189,GPT-4,G1,General Short,0.000961,0.313,972,625,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
190,Llama-3 70B,R1,Reasoning Basic,0.00038,0.14,1059,623,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-2
191,Grok-1.5,C4,Code LeetCode Easy,0.0013788,0.6936,213,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-15
192,Claude 3,P2,Physics Mechanics,0.0012,0.52,164,625,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-8
193,Llama-3 70B,C2,Code API/JSON,0.00046,0.216,1733,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-13
194,Llama-3 70B,C4,Code LeetCode Easy,0.0003,0.12,750,625,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
195,Grok-1.5,C1,Code Basic,0.0014,0.6131,509,240,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
196,Grok-1.5,M4,Math Advanced,0.002553,1.334,1162,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-14
197,GPT-4,G1,General Short,0.001,0.4861,381,20,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-10
198,Llama-3 70B,R3,Reasoning Puzzle,0.0008,0.3989,1164,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-5
199,Llama-3 70B,M3,Math Calculus,0.0005,0.28367,1152,20,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
200,Grok-1.5,M2,Math Algebra,0.00173,0.583,293,20,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-12
201,Claude 3,C3,Code DS/Algo,0.001074,0.486,485,419,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
202,GPT-4,R3,Reasoning Puzzle,0.0018,,528,623,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-3
203,GPT-4,G1,General Short,0.0010781,0.572,1631,20,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
204,Grok-1.5,C4,Code LeetCode Easy,0.0015043,,739,419,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
205,GPT-4,C2,Code API/JSON,0.00135,0.58774,555,20,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-13
206,Claude 3,M3,Math Calculus,0.001947,0.76246,1042,240,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-2
207,Llama-3 70B,R2,Reasoning Logical,0.0003,0.1237,716,419,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-4
208,Llama-3 70B,R1,Reasoning Basic,0.0003285,0.19,944,240,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-14
209,Grok-1.5,M5,Math Olympiad,0.003317,1.57,852,240,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
210,GPT-4,R2,Reasoning Logical,0.000988,0.36,735,625,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-7
211,GPT-4,R2,Reasoning Logical,0.00083,0.38,367,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
212,GPT-4,G1,General Short,0.0009,0.3508,503,623,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-13
213,Grok-1.5,R3,Reasoning Puzzle,0.0024,1.3543,1445,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
214,Claude 3,M1,Math Basic,0.0010836,0.57644,848,20,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-9
215,Claude 3,G3,General Long,0.0009496,0.28,1757,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-3
216,Grok-1.5,G1,General Short,0.001733,0.73153,1457,625,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
217,Claude 3,R3,Reasoning Puzzle,0.0019,0.772,1782,419,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-12
218,GPT-4,M5,Math Olympiad,0.0023,1.39,313,623,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-5
219,Llama-3 70B,C4,Code LeetCode Easy,0.0003559,0.1848,219,20,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-9
220,GPT-4,R1,Reasoning Basic,0.001,0.51,1224,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-9
221,Llama-3 70B,P2,Physics Mechanics,0.0004,0.212,1259,625,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
222,Grok-1.5,R2,Reasoning Logical,0.0016,0.529,540,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-4
223,Claude 3,R1,Reasoning Basic,0.000988,0.4289,1061,623,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-9
224,GPT-4,G3,General Long,0.0009245,0.50374,1414,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-9
225,Llama-3 70B,P1,Physics Basic,0.00031,0.1368,1329,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-5
226,Claude 3,P3,Physics EM,0.0012674,0.4096,376,623,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-12
227,Claude 3,C3,Code DS/Algo,0.00097,0.5076,1189,240,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-2
228,Claude 3,M1,Math Basic,0.00102,0.49519,1661,625,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-3
229,Grok-1.5,M5,Math Olympiad,0.003185,0.95,1609,625,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
230,Grok-1.5,C2,Code API/JSON,0.00183,0.6298,182,419,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
231,Llama-3 70B,M5,Math Olympiad,0.000954,0.5781,951,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-7
232,GPT-4,G1,General Short,0.001049,0.63,1692,419,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-8
233,Grok-1.5,C3,Code DS/Algo,0.0016271,0.58391,1377,20,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
234,Grok-1.5,G2,General Medium,0.00151,0.6256,1545,240,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
235,GPT-4,P2,Physics Mechanics,0.001,0.449,1740,623,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
236,Claude 3,M3,Math Calculus,0.002,1.1,886,240,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
237,GPT-4,G3,General Long,0.00109,0.357,507,20,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-14
238,GPT-4,P1,Physics Basic,0.00089,0.4124,1644,625,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-10
239,Llama-3 70B,C2,Code API/JSON,0.00048,0.19,1114,240,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-9
240,Claude 3,M3,Math Calculus,0.00151,0.759,1401,623,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-9
241,Claude 3,G3,General Long,0.0011403,0.53,261,623,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-1
242,GPT-4,C5,Code LeetCode Hard,0.0020848,0.826,893,625,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-8
243,Claude 3,P4,Physics Quantum,0.0022426,1.282,1418,419,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-10
244,Claude 3,P1,Physics Basic,0.00103,0.538,738,419,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-1
245,GPT-4,G3,General Long,0.0009,0.47088,1216,20,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-3
246,GPT-4,G2,General Medium,0.001065,0.43151,1196,623,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-10
247,Llama-3 70B,R3,Reasoning Puzzle,0.0006109,0.37052,139,240,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-13
248,Claude 3,C2,Code API/JSON,0.00137,0.4286,517,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-15
249,Claude 3,M5,Math Olympiad,0.002519,0.83,189,625,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-11
250,Grok-1.5,M4,Math Advanced,0.0025,1.06799,1747,419,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
251,Claude 3,G1,General Short,0.001156,0.4409,773,240,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-6
252,Grok-1.5,C1,Code Basic,0.00152,0.4563,122,623,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-7
253,Llama-3 70B,R2,Reasoning Logical,0.00035,0.16,1063,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
254,Llama-3 70B,C1,Code Basic,0.000357,0.18,385,623,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-14
255,Claude 3,P3,Physics EM,0.001047,0.38,1201,240,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-6
256,Grok-1.5,C2,Code API/JSON,0.0017437,0.7268,194,20,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-9
257,Grok-1.5,M3,Math Calculus,0.0024,1.37,1719,623,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-2
258,GPT-4,G2,General Medium,0.0011185,0.67072,1464,419,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-9
259,Grok-1.5,M5,Math Olympiad,0.00328,1.4,306,419,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-10
260,Grok-1.5,G3,General Long,0.001544,0.78,1644,240,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
261,GPT-4,P1,Physics Basic,0.001,0.53852,781,419,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-3
262,Claude 3,P3,Physics EM,0.00095,0.405,1085,419,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-3
263,Claude 3,C2,Code API/JSON,0.001224,0.41812,1401,20,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-9
264,Grok-1.5,C1,Code Basic,0.001271,0.417,1000,625,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-14
265,Grok-1.5,G1,General Short,0.001385,0.827,689,625,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-5
266,GPT-4,G1,General Short,0.0009942,0.36518,667,419,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-8
267,GPT-4,M4,Math Advanced,0.0018527,0.925,1329,20,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
268,Grok-1.5,P4,Physics Quantum,0.0039,2.0005,816,625,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-6
269,Grok-1.5,R2,Reasoning Logical,0.00146,0.599,883,240,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-4
270,Claude 3,M3,Math Calculus,0.00191,0.59574,1426,623,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
271,Claude 3,C3,Code DS/Algo,0.0012,0.67,527,20,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
272,Llama-3 70B,P1,Physics Basic,0.000321,0.12,1079,623,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-15
273,Grok-1.5,P1,Physics Basic,0.0016,0.5345,472,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
274,GPT-4,M5,Math Olympiad,0.0020194,0.8258,1702,20,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-8
275,Llama-3 70B,G3,General Long,0.000329,0.177,373,20,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
276,Llama-3 70B,P2,Physics Mechanics,0.000296,0.18051,270,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
277,Grok-1.5,C4,Code LeetCode Easy,0.001252,0.6427,571,240,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-13
278,Llama-3 70B,P2,Physics Mechanics,0.0004,0.2,1338,419,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-1
279,Grok-1.5,R2,Reasoning Logical,0.0012,0.577,1145,625,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
280,Llama-3 70B,C2,Code API/JSON,0.0005,0.22,736,20,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-11
281,Claude 3,C4,Code LeetCode Easy,0.0011,0.41778,932,623,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-14
282,GPT-4,G2,General Medium,0.00082,0.2885,605,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-10
283,Llama-3 70B,P1,Physics Basic,0.00038,0.14574,922,240,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-3
284,GPT-4,P4,Physics Quantum,0.0022002,0.96134,1520,625,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
285,GPT-4,P2,Physics Mechanics,0.000915,0.47,623,240,Estimated via token-energy scaling,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-9
286,GPT-4,M4,Math Advanced,0.00182,0.87,1679,240,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-11
287,Claude 3,P2,Physics Mechanics,0.0009819,0.5553,981,625,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
288,Grok-1.5,G2,General Medium,0.00159,0.8104,1590,623,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-14
289,Llama-3 70B,C4,Code LeetCode Easy,0.0004,0.13912,1182,240,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-12
290,GPT-4,R2,Reasoning Logical,0.00113,0.4403,387,20,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-10
291,GPT-4,P2,Physics Mechanics,0.00094,0.46,110,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
292,GPT-4,P4,Physics Quantum,0.0021,1.0,861,623,eco2AI-based regional factor estimation,Estimated using carbon intensity tables,B2025-Q1-EXP-11
293,Llama-3 70B,R2,Reasoning Logical,0.0003,0.17,350,623,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
294,Claude 3,R2,Reasoning Logical,0.001033,0.46,1202,20,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-3
295,Grok-1.5,R1,Reasoning Basic,0.00125,0.619,938,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-13
296,GPT-4,C3,Code DS/Algo,0.000994,0.51673,1326,419,eco2AI-based regional factor estimation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-12
297,Grok-1.5,P2,Physics Mechanics,0.0016,0.618,1314,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-15
298,Grok-1.5,P1,Physics Basic,0.00143,0.76,94,419,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-2
299,GPT-4,C5,Code LeetCode Hard,0.0022977,0.97,339,625,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-11
300,GPT-4,M3,Math Calculus,0.0014,0.67945,503,623,Hardware-level proportional compute estimate,Based on eco2AI methodology,B2025-Q1-EXP-5
301,Claude 3,R3,Reasoning Puzzle,0.002069,0.9199,1250,625,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-14
302,Grok-1.5,M5,Math Olympiad,0.0033075,1.30196,1194,20,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-13
303,GPT-4,P3,Physics EM,0.0011,0.67,1754,625,Category-adjusted FLOPs approximation,Estimated using carbon intensity tables,B2025-Q1-EXP-7
304,Llama-3 70B,G2,General Medium,0.0004,0.21,705,419,Estimated via token-energy scaling,Estimated using carbon intensity tables,B2025-Q1-EXP-6
